file,series,duration_s,resolution,fps,embodiment_inferred,content,wall_key_or_paper_ref,proposed_use,notes
adver - cup into shoebox.MP4,stress test: semantic conflict,38.4,1920x1080,50,G1-OP,Stacked cups beside a shoe and a shoebox; robot places a cup into the shoebox.,paper Fig 15c,conflicts strip (if restored),
adver - pick orange.MP4,stress test: arm switch,18.2,1920x1080,50,G1-OP,Right arm heads for the red apple; command moves to the left arm on the orange; left arm picks the orange.,paper Fig 15b (fruit re-shoot),conflicts strip (if restored),instruction sequence to be confirmed by the user
adver - red then pick green apple.MP4,stress test: target switch,20.3,1920x1080,50,G1-OP (close-up),Gripper at the red apple; target changes to the green apple; robot redirects and lifts the green apple.,"paper Fig 15a (fruit re-shoot, one switch)",conflicts strip (if restored),
atom - mango into box.MP4,atomic skill,17.3,1920x1080,50,"G2-90D? (black arms, AGIBOT torso, full body)",Picks a mango and places it into a clear box.,none of the 100 scored tasks,hero montage / embodiment shot,embodiment to be confirmed
atom - pass ball.MP4,atomic skill,43.2,1920x1080,50,G1-OP,"Orange ball picked with the right hand, handed to the left hand, set down on the left.",pass__ball_rtol,wall clip (replaces 640x480 temp),
atom - pen into cup.MP4,atomic skill,25.8,1920x1080,50,G1-OP,Pen placed into a paper cup.,place__pen_to_pen_holder (same content as current temp clip),wall clip (replaces 640x480 temp),
atom - stack cube.MP4,atomic skill,34.2,1920x1080,50,G2-90D? (black arms),Yellow cube stacked on the red cube.,"stack__cube_on_block, but colours reversed vs the scored instruction and other embodiment",hero montage / embodiment shot; NOT the G1-OP wall cell,do not label as the scored task
atom - stack cup.MP4,atomic skill,32.2,1920x1080,50,G1-OP,Green plastic cup stacked onto the pink cup.,stack__cup_on_cup (scored instruction says paper cups),wall clip candidate (task has no media yet),object mismatch: plastic vs paper cups; user to decide
atom - straigthen bottle.MP4,atomic skill,42.4,1920x1080,50,G1-OP,Lying bottle stood upright with the right arm.,straighten__water_bottle,wall clip (replaces 4K temp; cleaner framing),
atom - trash in bin.MP4,atomic skill,22.4,1920x1080,50,G1-OP,Crumpled paper picked and dropped into a bin.,none of the 100 scored tasks,hero montage,
complex - multi-handover.mp4,long-horizon,86.2,960x540,30,G1-OP (wide),Orange object handed back and forth between hands several times.,--,low resolution; lightbox only or skip,older recording (2026-07-29)
complex - multiple change instruction.mp4,long-horizon / conflicts,40.3,1280x720,30,G1-OP (lab background),Three cups; instruction changed several times during the rollout.,--,backup for conflicts; lab clutter,older recording (2026-08-14)
complex - stack 3 things.MP4,long-horizon,53.0,1920x1080,50,G1-OP (close-up),"Green bowl, plate and cup stacked in sequence.",--,long-horizon clip / hero montage,
"lang - green apple to green cup, orange to orange cup.MP4",language following,38.7,1920x1080,50,G1-OP,"Green apple to the green plate, orange to the orange plate.",--,instruction following (colour matching),
lang - pick blue cup.MP4,language following,27.2,1920x1080,50,G1-OP (wide),"Four cups (blue, yellow, pink, orange); picks the blue cup and sets it down to the left.",--,instruction following: same-scene set A,same scene as yellow / pink / orange cup clips
lang - pick green apple.MP4,language following,21.8,1920x1080,50,G1-OP (wide),"Red apple, green apple, orange; picks the green apple.",--,instruction following,a person enters the frame at ~19.5 s: trim before
lang - pick orange cup.MP4,language following,34.4,1920x1080,50,G1-OP (wide),Same four cups; picks the orange cup.,--,instruction following: same-scene set A,
lang - pick up yellow cup.MP4,language following,31.9,1920x1080,50,G1-OP (wide),Same four cups; picks the yellow cup.,--,instruction following: same-scene set A,a person enters the frame at ~28.5 s: trim before
"lang - red into red, blue into blue.MP4",language following,54.2,1920x1080,50,G2-90D? (black arms),"Red cube into the red box, blue cube into the blue box.",--,"instruction following (colour matching, second embodiment)",embodiment to be confirmed
lang pick pink cup.MP4,language following,19.4,1920x1080,50,G1-OP (wide),Same four cups; picks the pink cup.,--,instruction following: same-scene set A,
